15 FRACTIONS ,,,,,,,,,,
STRUCTURE,TIMMERMAN ,,,,,,,,,
,Volume (cm3),Volume max (Gy),Max point Dose (Gy) [0.035 cm3],,,,,,,
WholeBrain,,,,,,,,,,
Brainstem (not medulla),<5,40,44,,,,,,,
Eye (retina),Mean dose,<33,37.5,,,,,,,
"Eye lid, mebomian glands ",,,21.3,,,,,,,
"Eyelid, meibomian glands (one side)",,,27,,,,,,,
Lens,,,9,,,,,,,
OpticPathway,<0.5,39,42,,,,,,,
Lacrimal gland (one side),<1,18,30,,,,,,,
Cochlea,<0.5,30,33,,,,,,,
Hippocampus (RTOG 0933),,,,,,,,,,
,,,,,,,,,,

###

Braquial Plex,<3,48,52.5,,,,,,,
"Bronchus, smaller airways ",,,,,,,,,,
Esophagus,<5,45,54,,,,,,,
GreatVes,<10,57,65,,,,,,,
Heart/Pericardium,<15,42,48.9,,,,,,,
Liver-GTV,CRITICAL VOLUME (cm3),CRITICAL VOLUME DOSE MAX (Gy),,,,,,,,
,<700,30,,,,,,,,
Lungs (Der e izq ),CRITICAL VOLUME (cm3),CRITICAL VOLUME DOSE MAX (Gy),,,,,,,,
,1500 (H)/950 (M),16.5,,,,,,,,
,37%,18Gy,,,,,,,,
Rib,,,,,,,,,,
"ChestWall",,,,,,,,,,
Skin,<10,54,57,,,,,,,
SpinalCord and medulla,<5,39,42.0,,,,,,,n       
Trachea + large Bronchus ,<5,55.5,63,,,,,,,
Stomach,<50,39,51,,,,,,,
Spleen,,,,,,,,,,
Bile duct,,,,,,,,,,
Duodenum,<5,39,51,,,,,,,
Jejunum/ileum,<120,39,46.5,,,,,,,
Colon,<20,47,64.5,,,,,,,
Ureter,,,,,,,,,,
Renal hilum/vascular trunk,15,37.5,,,,,,,,
Renal cortex (right and left),CRITICAL VOLUME (cm3),CRITICAL VOLUME DOSE MAX (Gy),,,,,,,,
,200,24,,,,,,,,
Bladder Wall (with urine),<90,55.5,61.5,,,,,,,
,<125,52.5,,,,,,,,
Bladder (suprapubic wall),<5,26,48,,,,,,,
CaudaEquina,<5,40.5,48,,,,,,,
FemurHeadNeck,<10,40,46.5,,,,,,,
LumbSacPlex,<5,40.5,48,,,,,,,
Penile Bulb,<3,42,48,,,,,,,
Rectum,<10,60,70.5,,,,,,,
,<20,57,,,,,,,,
,<30,52.5,,,,,,,,
,<40,49.5,,,,,,,,
Urethra,,,,,,,,,,
